simulation_id	longitude	latitude	inclination	distance	mass1	mass2	spin1z	spin2z	polarization	coa_phase	geocent_end_time	geocent_end_time_ns	gps_time	ULTRASAT_efficiency	ULTRASAT_efficiency_err	ULTRASAT_detection	ZTF_efficiency	ZTF_efficiency_err	ZTF_detection	LSST_efficiency	LSST_efficiency_err	LSST_detection
841	3.3970638	-1.1646312	0.70779116	601.49661	3.1226908	2.6583707	-0.1890382	-0.020045107	2.133265733718872	-2.2427186965942383	1022420132	709604383	1022420132.727036	0.0049	0.0006982828939620389	0	0.0	0.0	0	0.3293	0.004699590514076732	1
846	1.5994318	-1.4123761	1.31975	119.18248	2.5397857	2.2538771	0.058162317	-0.019328683	5.010069847106934	1.3488787412643433	1027263266	197885990	1027263266.211304	0.0026	0.0005092386473943233	0	0.0044	0.0006618640343756413	0	0.068	0.00251745903640953	0
891	0.83288314	0.46881203	0.89334737	290.1779	1.7323744	1.6470639	-0.012690596	0.068559775	4.291792392730713	1.0761959552764893	1027680463	246533394	1027680463.230745	0.0468	0.0021121022702511355	0	0.037	0.0018876175460087246	1	0.2373	0.004254276789302736	0
900	5.065992	0.1265409	2.3061831	152.44835	1.9798066	1.9221952	0.1933166	-0.16501534	3.468600034713745	2.4612743854522705	1030381348	870916843	1030381348.884187	0.0275	0.0016353516441426292	0	0.4033	0.0049055999633072405	1	0.4818	0.004996686502073149	1
908	5.7062019	1.1148787	0.41496866	539.31069	2.9443424	1.3471191	-0.15940783	0.091776246	0.4708040952682495	-0.3367651104927063	1005265025	776481986	1005265025.75844	0.0041	0.0006389984350528568	0	0.0082	0.0009018181634897359	0	0.0801	0.0027144795081193744	0
929	3.758324	1.1568703	2.7428007	317.34816	1.8732167	1.6733543	0.021010731	0.35129116	2.6962080001831055	0.7054065465927124	1003698543	979425669	1003698543.961706	0.0047	0.0006839524837296814	0	0.0617	0.0024060987095295984	0	0.084	0.0027738781516137294	0
940	0.77556934	-0.31091208	2.7428101	187.78851	1.8471484	1.6709725	0.094035461	-0.13247444	3.4539878368377686	-1.0761398077011108	1011891115	50224662	1011891115.065918	0.0568	0.0023146006134968514	0	0.2626	0.004400468611409471	0	0.0577	0.0023317527742022738	0
965	0.58040416	0.66729765	1.0341158	101.06073	2.6977477	1.6149579	-0.71745171	-0.13792754	5.181148052215576	2.3454270362854004	1000375814	266087890	1000375814.245708	0.7146	0.004516047386819585	1	0.5855	0.004926355143511276	1	0.4039	0.0049067788823218845	0
968	2.7286697	-0.97552121	0.41201036	555.71641	1.6912056	1.6304317	0.061259754	-0.043949116	0.5539747476577759	-3.0824661254882812	1008621983	197147369	1008621983.215485	0.0038	0.0006152690468404858	0	0.0393	0.0019430777133197736	0	0.3314	0.0047071651766217	1
978	3.5179004	-0.86875363	1.3592922	102.57748	2.0384265	1.9633142	-0.021833092	0.06383039	1.019232988357544	-1.6005829572677612	1019966514	498784065	1019966514.499092	0.7642	0.004244977738457529	1	0.0414	0.001992135537557623	0	0.553	0.004971830648765101	1
999	1.2644251	-0.42840623	1.2632257	140.60587	1.578269	1.2186665	-0.27078904	0.068578426	2.6915388107299805	-2.18698787689209	1014736307	958240986	1014736307.977173	0.0442	0.002055391933427783	1	0.2661	0.004419171754978527	0	0.064	0.002447529366524537	0
1010	4.4500924	-0.04560966	2.4702528	148.88658	1.981915	1.3728358	0.014518936	-0.055068166	6.076519966125488	1.0348337888717651	1016715276	690958381	1016715276.676283	0.3644	0.004812615089532925	0	0.5405	0.0049835705071765565	1	0.4873	0.004998386839771407	1
